[87c9dc20-f4e6-4f0e-985f-8b67465a4846, elginbrian_cust, 220406, customer]
[d5cc70a7-b8ee-408b-9579-65baa3dae449, elginbrian_admin, 220406, employee]
[724a3c27-02a8-4c3d-9b85-7f9371b6faff, carol_smith68, password123, employee]
[a12e4b73-b3e8-4ef8-97b0-87e3a1a3d5fc, frank_jones11, 987654321, customer]
[58c7e481-0da0-467e-bcce-9449b8c6b8c2, grace_davis43, qwerty123, employee]
[5e76d7a3-ff4f-4763-b0b3-5c0b1b02f1c5, dave_jones34, abc123, customer]
[8f3d4e92-1e65-472d-b4b9-4f3f8b3aebc8, bob_miller89, password, employee]
[9b4a9c58-5a82-432b-ae84-03d7ec4e8e5a, alice_smith27, welcome123, customer]
[6e71e0c8-9616-4e9c-bf7e-8c2e4b53ec2f, carol_johnson92, pass1234, employee]
[7f9e2d64-6eb1-4b0f-b95a-c7749f8c0b88, grace_jones68, 12345678, customer]
[2c5f3a4d-d9b2-479c-8351-6f4b8e9e7ef1, eve_davis98, secret123, employee]
[8d3f2e6b-4f4a-4c6e-97ab-1d7ea4e1a2fd, alice_smith46, mypassword, customer]
[6e6c2d0f-ef22-4e10-98d1-5c6cfe7820d6, bob_johnson88, iloveyou, employee]
[4b2f5d1e-d5d7-47ce-bef0-0f15fb89ac38, frank_miller43, 111111, customer]
[5a1b2c3d-4e5f-6a7b-8c9d-0e1f2a3b4c5d, dave_smith23, abcdefg123, employee]
[7f8g9h0i-1j2k-3l4m-5n6o-7p8q9r0s1t2u, eve_jones12, letmein, customer]
[3v4b5n-6m7l-8k9j-0h1g-2f3e4d5c6b7a, carol_davis89, 123abc, employee]
[1a2s3d-4f5g-6h7j-8k9l-0z1x2c3v4b5n, alice_johnson99, qwerty, customer]
[6q7w8e-9r0t-1y2u-3i4o-5p6a7s8d9f0g, bob_smith54, password1, employee]
[2h3j4k-5l6z-7x8c-9v0b-1n2m3, frank_miller78, test123, customer]
[4f5g6h-7j8k-9l0z-1x2c-3v4b5n6m7l8k, dave_jones67, 123456, employee]
[6q7w8e-9r0t-1y2u-3i4o-5p6a7s8d9f0g, grace_davis32, 987654, customer]
